Dates,Pollster,Grade,Sample,Weight,Approve,Disapprove,Approve.adj,Disapprove.adj
MARCH 1-5,SurveyMonkey,C-,"4,551",0.23,48%,51%,46%,49%
MARCH 1-5,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.33,52%,48%,47%,48%
MARCH 1-5,Suffolk University,B+,"1,000",1.41,47%,44%,46%,46%
MARCH 2-4,Gallup,B-,"1,500",0.41,43%,50%,44%,48%
MARCH 1-4,CNN/Opinion Research Corp.,A-,"1,025",1.64,45%,52%,45%,51%
FEBRUARY 24-MARCH 4,IBD/TIPP,A-,909,1.49,41%,53%,43%,52%
FEBRUARY 27-MARCH 1,Gallup,B-,"1,500",0.41,43%,51%,44%,49%
FEBRUARY 25-MARCH 1,Ipsos,A-,"1,687",1.13,46%,49%,43%,51%
FEBRUARY 25-MARCH 1,YouGov,B,"1,500",0.84,41%,50%,42%,53%
FEBRUARY 26-28,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.42,50%,50%,45%,50%
FEBRUARY 24-26,Morning Consult,,"2,000",0.63,50%,45%,46%,48%
FEBRUARY 24-26,Gallup,B-,"1,500",0.41,42%,54%,43%,52%
FEBRUARY 20-24,Ipsos,A-,"1,867",1.17,45%,48%,43%,50%
FEBRUARY 21-23,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.37,53%,47%,48%,47%
FEBRUARY 21-23,Gallup,B-,"1,500",0.41,43%,52%,44%,50%
FEBRUARY 17-23,SurveyMonkey,C-,"10,639",0.41,44%,54%,42%,52%
FEBRUARY 21-22,Public Policy Polling,B+,941,1.2,45%,48%,45%,48%
FEBRUARY 18-22,NBC News/Wall Street Journal,A-,"1,000",1.7,44%,48%,44%,49%
FEBRUARY 18-22,YouGov,B,"1,500",0.75,43%,46%,44%,49%
FEBRUARY 17-21,CBS News/New York Times,A-,"1,280",1.81,39%,51%,40%,52%
FEBRUARY 16-21,Quinnipiac University,A-,"1,323",1.67,38%,55%,40%,54%
FEBRUARY 18-20,Gallup,B-,"1,500",0.41,41%,53%,42%,51%
FEBRUARY 17-20,American Research Group,C+,"1,100",1.08,43%,51%,43%,51%
FEBRUARY 16-20,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.43,50%,50%,45%,50%
FEBRUARY 16-19,Morning Consult,,"2,013",0.66,49%,44%,45%,47%
FEBRUARY 15-19,Ipsos,A-,"2,291",1.27,45%,51%,43%,52%
FEBRUARY 15-19,Marist College,A,864,1.66,41%,49%,42%,50%
FEBRUARY 13-19,SurveyMonkey,C-,"11,512",0.38,43%,54%,41%,52%
FEBRUARY 17-18,YouGov,B,"1,000",0.5,41%,47%,42%,50%
FEBRUARY 15-17,Gallup,B-,"1,500",0.41,40%,55%,41%,53%
FEBRUARY 13-17,SurveyMonkey,C-,"9,163",0.31,45%,53%,43%,51%
FEBRUARY 13-15,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.48,55%,45%,50%,45%
FEBRUARY 12-14,YouGov,B,"1,500",0.77,43%,47%,44%,50%
FEBRUARY 12-14,Gallup,B-,"1,500",0.41,40%,53%,41%,51%
FEBRUARY 10-14,Ipsos,A-,"1,777",1.06,45%,51%,43%,52%
FEBRUARY 11-13,Harris Interactive,C-,"2,148",1.12,48%,52%,46%,52%
FEBRUARY 11-13,Fox News/Anderson Robbins Research/Shaw & Company Research,A,"1,013",1.74,48%,47%,47%,48%
FEBRUARY 8-12,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.33,52%,48%,47%,48%
FEBRUARY 7-12,Pew Research Center,B+,"1,503",1.8,39%,56%,40%,54%
FEBRUARY 6-12,SurveyMonkey,C-,"9,349",0.39,46%,53%,44%,51%
FEBRUARY 9-11,Gallup,B-,"1,500",0.42,40%,55%,41%,53%
FEBRUARY 9-10,Morning Consult,,"1,791",0.6,49%,45%,45%,48%
FEBRUARY 5-9,Ipsos,A-,"1,756",1.07,48%,46%,45%,48%
FEBRUARY 7-8,Public Policy Polling,B+,712,0.85,43%,53%,43%,53%
FEBRUARY 6-8,Gallup,B-,"1,500",0.42,43%,52%,44%,50%
FEBRUARY 5-7,YouGov,B,"1,500",0.83,41%,48%,42%,51%
FEBRUARY 5-7,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.45,53%,47%,48%,47%
FEBRUARY 5-6,Emerson College,B,617,0.95,48%,47%,47%,48%
FEBRUARY 2-6,Quinnipiac University,A-,"1,155",1.51,42%,51%,44%,50%
FEBRUARY 3-5,Gallup,B-,"1,500",0.43,42%,52%,43%,50%
JANUARY 30-FEBRUARY 5,SurveyMonkey,C-,"9,219",0.52,46%,52%,44%,50%
FEBRUARY 2-4,Morning Consult,,"2,070",0.67,47%,46%,43%,49%
FEBRUARY 2-4,Zogby Interactive/JZ Analytics,C-,860,0.84,47%,43%,46%,44%
JANUARY 31-FEBRUARY 4,Ipsos,A-,"2,774",1.88,45%,48%,43%,50%
FEBRUARY 1-2,CBS News/New York Times,A-,"1,019",1.53,40%,48%,41%,49%
JANUARY 31-FEBRUARY 2,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.42,54%,46%,49%,46%
JANUARY 31-FEBRUARY 2,Gallup,B-,"1,500",0.45,43%,52%,44%,50%
JANUARY 31-FEBRUARY 2,CNN/Opinion Research Corp.,A-,"1,002",1.61,44%,53%,44%,52%
JANUARY 27-FEBRUARY 2,IBD/TIPP,A-,885,1.48,42%,48%,44%,47%
JANUARY 30-31,Public Policy Polling,B+,725,0.81,47%,49%,47%,49%
JANUARY 28-31,YouGov,B,"1,500",0.8,43%,44%,44%,47%
JANUARY 28-30,Gallup,B-,"1,500",0.48,43%,51%,44%,49%
JANUARY 26-30,SurveyMonkey,C-,"4,444",0.37,48%,50%,46%,48%
JANUARY 26-30,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.55,51%,49%,46%,49%
JANUARY 26-30,Ipsos,A-,"2,204",1.25,47%,46%,44%,48%
JANUARY 26-28,Morning Consult,,"1,991",0.66,49%,41%,45%,44%
JANUARY 25-27,Gallup,B-,"1,500",0.53,42%,50%,43%,48%
JANUARY 23-25,YouGov,B,"2,692",1.52,41%,35%,42%,38%
JANUARY 23-25,Rasmussen Reports/Pulse Opinion Research,C+,"1,500",0.4,59%,41%,54%,41%
JANUARY 21-25,Ipsos,A-,"1,651",0.56,42%,46%,40%,48%
JANUARY 20-25,Quinnipiac University,A-,"1,190",1.66,36%,44%,38%,43%
JANUARY 23-24,Public Policy Polling,B+,"1,043",1.2,44%,44%,44%,44%
JANUARY 22-24,Gallup,B-,"1,500",0.64,46%,45%,47%,43%
JANUARY 20-22,Morning Consult,,"1,992",0.8,46%,37%,42%,40%
